,NCESID,StudentTestID,StudentLocalID,StudentGradeLevel,TestDate,TestName,TestTypeName,TestSubjectName,TestGradeLevel,Score1Label,Score1Type,Score1Value,Score2Label,Score2Type,Score2Value,Score3Label,Score3Type,Score3Value
0,373737,1408905,,3,April 1,MCAS,MCAS ELA,ELA,3,Performance Level,Level,2 - W,Scaled Score,Scale,216.0,CPI,Scale,25.0
1,373737,1408905,,3,May 1,MCAS,MCAS Math,Math,3,Performance Level,Level,2 - W,Scaled Score,Scale,210.0,CPI,Scale,25.0
2,373737,1020285,,3,April 1,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3 - NI,Scaled Score,Scale,238.0,CPI,Scale,75.0
3,373737,1020285,,3,May 1,MCAS,MCAS Math,Math,3,Performance Level,Level,4 - P,Scaled Score,Scale,244.0,CPI,Scale,100.0
4,373737,1681155,,3,April 1,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3 - NI,Scaled Score,Scale,220.0,CPI,Scale,50.0
5,373737,1681155,,3,May 1,MCAS,MCAS Math,Math,3,Performance Level,Level,3 - NI,Scaled Score,Scale,236.0,CPI,Scale,75.0
6,373737,1987801,,3,April 1,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4 - P,Scaled Score,Scale,252.0,CPI,Scale,100.0
7,373737,1987801,,3,May 1,MCAS,MCAS Math,Math,3,Performance Level,Level,4 - P,Scaled Score,Scale,246.0,CPI,Scale,100.0
8,373737,1351732,,3,April 1,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4 - P,Scaled Score,Scale,246.0,CPI,Scale,100.0
9,373737,1351732,,3,May 1,MCAS,MCAS Math,Math,3,Performance Level,Level,3 - NI,Scaled Score,Scale,228.0,CPI,Scale,50.0
10,373737,1259640,,3,April 1,MCAS,MCAS ELA,ELA,3,Performance Level,Level,2 - W,Scaled Score,Scale,,CPI,Scale,100.0
11,373737,1259640,,3,May 1,MCAS,MCAS Math,Math,3,Performance Level,Level,2 - W,Scaled Score,Scale,,CPI,Scale,100.0
12,373737,1833359,,3,April 1,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3 - NI,Scaled Score,Scale,230.0,CPI,Scale,75.0
13,373737,1833359,,3,May 1,MCAS,MCAS Math,Math,3,Performance Level,Level,3 - NI,Scaled Score,Scale,220.0,CPI,Scale,50.0
14,373737,1624948,,3,April 1,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4 - P,Scaled Score,Scale,240.0,CPI,Scale,100.0
15,373737,1624948,,3,May 1,MCAS,MCAS Math,Math,3,Performance Level,Level,4 - P,Scaled Score,Scale,246.0,CPI,Scale,100.0
16,373737,1761110,,3,April 1,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3 - NI,Scaled Score,Scale,234.0,CPI,Scale,75.0
17,373737,1761110,,3,May 1,MCAS,MCAS Math,Math,3,Performance Level,Level,4 - P,Scaled Score,Scale,254.0,CPI,Scale,100.0
18,373737,1336566,,3,April 1,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3 - NI,Scaled Score,Scale,226.0,CPI,Scale,50.0
19,373737,1336566,,3,May 1,MCAS,MCAS Math,Math,3,Performance Level,Level,3 - NI,Scaled Score,Scale,236.0,CPI,Scale,75.0
20,373737,1866389,,3,April 1,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3 - NI,Scaled Score,Scale,232.0,CPI,Scale,75.0
21,373737,1866389,,3,May 1,MCAS,MCAS Math,Math,3,Performance Level,Level,3 - NI,Scaled Score,Scale,220.0,CPI,Scale,50.0
22,373737,1491765,,3,April 1,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4 - P,Scaled Score,Scale,252.0,CPI,Scale,100.0
